id,name,price,image,brand,category,store,availability,rating,description,link,timestamp
1,Memory Nano 1,3019.97,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Analog Devices,Test Equipment,Ekostra,In Stock,4.4,Real product image: ,https://ekostra-eg.com/product/1,2025-12-26T16:15:56.262373
2,Tester Programmable 2,592.41,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,STMicroelectronics,Communication,Ekostra,Limited Stock,3.9,Real product image: ,https://ekostra-eg.com/product/2,2025-12-26T16:15:56.262391
3,WiFi Generation 3 3,468.64,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,STMicroelectronics,Communication,Ekostra,In Stock,4.4,Real product image: ,https://ekostra-eg.com/product/3,2025-12-26T16:15:56.262400
4,Transmitter Desktop 4,96.58,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Silicon Labs,Security,Ekostra,Limited Stock,5.0,Real product image: ,https://ekostra-eg.com/product/4,2025-12-26T16:15:56.262409
5,GPS Model 5,192.25,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,STMicroelectronics,Communication,Ekostra,In Stock,4.8,Real product image: ,https://ekostra-eg.com/product/5,2025-12-26T16:15:56.262416
6,Receiver Entry Level 6,5000.0,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Test Equipment,Ekostra,In Stock,4.1,Real product image: ,https://ekostra-eg.com/product/6,2025-12-26T16:15:56.262425
7,Processor Set 7,763.07,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Maxim Integrated,Sensors,Ekostra,In Stock,4.9,Real product image: ,https://ekostra-eg.com/product/7,2025-12-26T16:15:56.262435
8,Security Model 8,3842.78,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Analog Devices,Automation,Ekostra,In Stock,3.7,Real product image: ,https://ekostra-eg.com/product/8,2025-12-26T16:15:56.262445
9,RFID Desktop 9,2080.34,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,Embedded,Ekostra,Out of Stock,4.4,Real product image: ,https://ekostra-eg.com/product/9,2025-12-26T16:15:56.262454
10,Interface Model 10,197.33,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,RFID,Ekostra,In Stock,3.7,Real product image: ,https://ekostra-eg.com/product/10,2025-12-26T16:15:56.262463
11,Memory Model Z 11,2469.08,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Silicon Labs,Automation,Ekostra,Out of Stock,3.7,Real product image: ,https://ekostra-eg.com/product/11,2025-12-26T16:15:56.262473
