id,name,price,image,brand,category,store,availability,rating,description,link,timestamp
1,Camera Package 1,3611.7,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_0,Samsung,Education,Electrohub,Out of Stock,3.9,Professional education from Samsung. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/1,2025-12-26T16:15:56.243382
2,AMD Model 2,2500.0,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_1,Arduino,Single Board Computers,Electrohub,Limited Stock,3.6,Professional single board computers from Arduino. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/2,2025-12-26T16:15:56.243398
3,Heatsink Beta 3,1726.96,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_2,Generic,Single Board Computers,Electrohub,In Stock,4.1,Professional single board computers from Generic. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/3,2025-12-26T16:15:56.243406
4,ESP Basic 4,269.97,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_3,Intel,Displays,Electrohub,Limited Stock,4.6,Professional displays from Intel. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/4,2025-12-26T16:15:56.243414
5,Case Plus 5,163.35,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_4,AMD,Wireless,Electrohub,In Stock,3.8,Professional wireless from AMD. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/5,2025-12-26T16:15:56.243421
6,Intel Deluxe 6,84.87,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_5,LG,Accessories,Electrohub,In Stock,3.5,Professional accessories from LG. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/6,2025-12-26T16:15:56.243428
7,Module Beta 7,575.22,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_6,ESP,Microcontrollers,Electrohub,In Stock,4.2,Professional microcontrollers from ESP. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/7,2025-12-26T16:15:56.243436
8,Module Panel Mount 8,202.87,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_7,Raspberry Pi,Wireless,Electrohub,Out of Stock,3.7,Professional wireless from Raspberry Pi. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/8,2025-12-26T16:15:56.243443
9,Storage Ultra Low Power 9,108.12,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_8,AMD,Accessories,Electrohub,Out of Stock,3.5,Professional accessories from AMD. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/9,2025-12-26T16:15:56.243451
10,AMD Model 10,2228.16,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_9,Samsung,Education,Electrohub,In Stock,4.8,Professional education from Samsung. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/10,2025-12-26T16:15:56.243459
11,Storage Smart 11,1431.6,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_10,Raspberry Pi,Single Board Computers,Electrohub,In Stock,4.3,Professional single board computers from Raspberry Pi. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/11,2025-12-26T16:15:56.243470
12,Fan RS232 12,161.8,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_11,Samsung,Wireless,Electrohub,In Stock,4.9,Professional wireless from Samsung. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/12,2025-12-26T16:15:56.243480
13,Display Intelligent 13,414.39,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_12,Generic,Microcontrollers,Electrohub,Out of Stock,3.8,Professional microcontrollers from Generic. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/13,2025-12-26T16:15:56.243491
14,Raspberry Pi Model 14,4288.08,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_13,Generic,Industrial,Electrohub,Out of Stock,4.6,Professional industrial from Generic. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/14,2025-12-26T16:15:56.243503
15,LG Elite 15,1944.0,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_14,Sony,Single Board Computers,Electrohub,Out of Stock,4.9,Professional single board computers from Sony. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/15,2025-12-26T16:15:56.243514
16,Sony Commercial 16,295.86,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_15,Arduino,Displays,Electrohub,In Stock,4.6,Professional displays from Arduino. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/16,2025-12-26T16:15:56.243524
17,Display Model 17,518.57,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_16,Arduino,Displays,Electrohub,In Stock,3.7,Professional displays from Arduino. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/17,2025-12-26T16:15:56.243534
18,AMD Micro 18,3145.0,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_17,Generic,Education,Electrohub,In Stock,4.1,Professional education from Generic. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/18,2025-12-26T16:15:56.243545
19,LG Premium 19,397.03,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_18,Intel,IoT,Electrohub,In Stock,4.1,Professional iot from Intel. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/19,2025-12-26T16:15:56.243556
20,LG Model 20,775.51,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_19,ESP,Microcontrollers,Electrohub,In Stock,4.5,Professional microcontrollers from ESP. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/20,2025-12-26T16:15:56.243564
21,Fan High Power 21,589.7,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_20,LG,Education,Electrohub,In Stock,3.9,Professional education from LG. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/21,2025-12-26T16:15:56.243572
22,ESP Model X 22,5104.82,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=electrohub_21,Intel,Industrial,Electrohub,Out of Stock,4.7,Professional industrial from Intel. High quality and reliable performance for all applications.,https://electrohub-eg.com/product/22,2025-12-26T16:15:56.243579
