id,name,price,image,brand,category,store,availability,rating,description,link,timestamp
1,Display RS232 1,914.67,https://microohm-eg.com/wp-content/uploads/2025/01/images-3.png,Raspberry Pi,Tools,Arduino,Limited Stock,4.9,Real product image: ,https://microohm-eg.com/product/1,2025-12-26T16:15:56.222019
2,Arduino Model 2 Development Board,143.82,https://microohm-eg.com/wp-content/uploads/2025/04/images.png,Analog Devices,Components,Arduino,In Stock,4.3,Real product image: ,https://microohm-eg.com/product/2,2025-12-26T16:15:56.222041
3,Raspberry Pi Alpha 3,800.0,https://microohm-eg.com/wp-content/uploads/2025/05/images-9.png,NXP,Motors,Arduino,In Stock,4.1,Real product image: WestingHouse,https://microohm-eg.com/product/3,2025-12-26T16:15:56.222053
4,Arduino Wireless 4 Development Board,186.97,https://microohm-eg.com/wp-content/uploads/2025/04/images-8.png,Texas Instruments,Displays,Arduino,Out of Stock,3.7,Real product image: ,https://microohm-eg.com/product/4,2025-12-26T16:15:56.222062
5,PIC Model 5,285.34,https://microohm-eg.com/wp-content/uploads/2025/04/images-7.png,Generic,Development Boards,Arduino,Limited Stock,3.5,Real product image: ,https://microohm-eg.com/product/5,2025-12-26T16:15:56.222075
6,AVR 2023 Model 6,104.26,https://microohm-eg.com/wp-content/uploads/2025/04/images-1.png,NXP,Wireless Modules,Arduino,In Stock,3.6,Real product image: ,https://microohm-eg.com/product/6,2025-12-26T16:15:56.222086
7,Motor Model 7,3670.43,https://microohm-eg.com/wp-content/uploads/2025/04/images-5.png,Arduino,Kits,Arduino,Out of Stock,4.8,Real product image: ,https://microohm-eg.com/product/7,2025-12-26T16:15:56.222096
8,Kit Series 2 8,277.97,https://microohm-eg.com/wp-content/uploads/2025/05/images-11.png,Microchip,Displays,Arduino,In Stock,4.6,Real product image: ,https://microohm-eg.com/product/8,2025-12-26T16:15:56.222105
9,PIC Version 2.0 9,142.64,https://microohm-eg.com/wp-content/uploads/2025/05/remove-uncategorized-category_featured-image-e1748016116684.png,Raspberry Pi,Components,Arduino,Out of Stock,4.8,Real product image: ,https://microohm-eg.com/product/9,2025-12-26T16:15:56.222113
10,Robot High Resolution 10,44.46,https://microohm-eg.com/wp-content/uploads/2025/11/image.webp,Texas Instruments,Wireless Modules,Arduino,Out of Stock,3.8,Real product image: ,https://microohm-eg.com/product/10,2025-12-26T16:15:56.222122
11,Robot Modular 11,26.1,https://microohm-eg.com/wp-content/uploads/2025/05/images-2-1.jpeg,Generic,Components,Arduino,In Stock,4.1,Real product image: ,https://microohm-eg.com/product/11,2025-12-26T16:15:56.222132
12,Kit Handheld 12,180.51,https://microohm-eg.com/wp-content/uploads/2025/12/Image_Editor-5-1.webp,Generic,Wireless Modules,Arduino,In Stock,3.9,Real product image: BESTON AAA 1.5V Super Extra Heavy Duty (R03S) Zinc‑Carbon — 1 Pcs,https://microohm-eg.com/product/12,2025-12-26T16:15:56.222141
13,Drone Type B 13,108.82,https://microohm-eg.com/wp-content/uploads/2025/12/Image_Editor-6-1.webp,Raspberry Pi,Displays,Arduino,In Stock,4.3,Real product image: ,https://microohm-eg.com/product/13,2025-12-26T16:15:56.222151
14,Bluetooth Portable 14,44.03,https://microohm-eg.com/wp-content/uploads/2025/12/Image_Editor-6-1.webp,Arduino,Components,Arduino,In Stock,4.2,Real product image: ,https://microohm-eg.com/product/14,2025-12-26T16:15:56.222159
15,Power Supply Delta 15,629.07,https://microohm-eg.com/wp-content/uploads/2025/12/Image_Editor-7-1.webp,Microchip,Power Supplies,Arduino,In Stock,4.9,Real product image: ,https://microohm-eg.com/product/15,2025-12-26T16:15:56.222168
16,Bluetooth Industrial 16,1004.77,https://microohm-eg.com/wp-content/uploads/2025/10/images-3-1.jpeg,STMicroelectronics,Tools,Arduino,In Stock,4.7,Real product image: ,https://microohm-eg.com/product/16,2025-12-26T16:15:56.222177
17,AVR Model 17,85.45,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=microohm_16,Texas Instruments,Development Boards,Arduino,Out of Stock,4.0,Professional development boards from Texas Instruments. High quality and reliable performance for all applications.,https://microohm-eg.com/product/17,2025-12-26T16:15:56.222188
