id,name,price,image,brand,category,store,availability,rating,description,link,timestamp
1,Thermal Camera WiFi 1,5375.71,https://ram-e-shop.com/web/image/website/1/logo/RAM%20Electronics%20website?unique=8d4581f,Siglent,Industrial,Ram,In Stock,4.4,Real product image: RAM Electronics website,https://ram-egypt.com/product/1,2025-12-26T16:15:56.283252
2,LCR Meter Series 1 2,696.75,https://ram-e-shop.com/web/image/res.lang/3/flag_image?height=25,Fluke,Components,Ram,In Stock,4.5,Real product image:  الْعَرَبيّة,https://ram-egypt.com/product/2,2025-12-26T16:15:56.283273
3,Professional Model 3,153.11,https://ram-e-shop.com/web/image/website/1/logo/RAM%20Electronics%20website?unique=8d4581f,Agilent,Components,Ram,Out of Stock,4.5,Real product image: RAM Electronics website,https://ram-egypt.com/product/3,2025-12-26T16:15:56.283285
4,Power Supply USB 4,6910.38,https://ram-e-shop.com/web/image/res.lang/3/flag_image?height=25,Rigol,Test Equipment,Ram,In Stock,4.5,Real product image:  الْعَرَبيّة,https://ram-egypt.com/product/4,2025-12-26T16:15:56.283297
5,EMI Tester Bluetooth 5,9105.21,https://ram-e-shop.com/web/image/108880-699813c8/ro_arm_dofbot_se_2.webp,Rigol,Measurement,Ram,In Stock,4.2,Real product image: AI robotic arm 6 DOF,https://ram-egypt.com/product/5,2025-12-26T16:15:56.283307
6,Component Tester Wireless 6,10312.45,https://ram-e-shop.com/web/image/108882-b293793b/kit_ai_huskylens_5.webp,HP,Laboratory,Ram,Limited Stock,3.9,Real product image: Hardware AI image,https://ram-egypt.com/product/6,2025-12-26T16:15:56.283319
7,EMI Tester Model 7,2809.16,https://ram-e-shop.com/web/image/108883-fb6ece13/rpi_ai_camera.webp,Agilent,Power Supplies,Ram,Out of Stock,4.5,Real product image: Raspberry Pi AI Camera,https://ram-egypt.com/product/7,2025-12-26T16:15:56.283330
8,Thermal Camera Type A 8,6150.55,https://ram-e-shop.com/web/image/76287-2d56add6/upo2104e.webp,Fluke,Calibration,Ram,In Stock,4.4,Real product image: ,https://ram-egypt.com/product/8,2025-12-26T16:15:56.283341
9,Digital Multimeter Entry Level 9,4856.04,https://ram-e-shop.com/web/image/62063-51e36de1/Atten_ms900_2.svg,Siglent,Power Supplies,Ram,In Stock,4.6,Real product image: Hot Air Soldering Iron,https://ram-egypt.com/product/9,2025-12-26T16:15:56.283351
10,Vibration Analyzer Model 10,5668.96,https://ram-e-shop.com/web/image/62064-34908e86/kit_fpga_ep4ce.svg,Rigol,Calibration,Ram,In Stock,3.9,Real product image: ESP32 and FPGA Kits,https://ram-egypt.com/product/10,2025-12-26T16:15:56.283360
11,Component Tester High Precision 11,10784.94,https://ram-e-shop.com/web/image/25335-4f8ca65c/RAM%20Logo.jpg,Rigol,Professional,Ram,In Stock,4.5,Real product image: ,https://ram-egypt.com/product/11,2025-12-26T16:15:56.283371
12,Signal Generator Version 2.0 12,14834.01,https://ram-e-shop.com/web/image/res.lang/3/flag_image?height=25,Tektronix,Laboratory,Ram,In Stock,3.8,Real product image:  الْعَرَبيّة,https://ram-egypt.com/product/12,2025-12-26T16:15:56.283382
13,Digital Multimeter Nano 13,8920.97,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ram_12,Keysight,Measurement,Ram,In Stock,4.9,Professional measurement from Keysight. High quality and reliable performance for all applications.,https://ram-egypt.com/product/13,2025-12-26T16:15:56.283393
14,Logic Analyzer Alpha 14,16458.36,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ram_13,HP,Analysis,Ram,Limited Stock,3.8,Professional analysis from HP. High quality and reliable performance for all applications.,https://ram-egypt.com/product/14,2025-12-26T16:15:56.283404
15,Power Analyzer SPI 15,8899.44,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ram_14,Generic,Measurement,Ram,In Stock,3.8,Professional measurement from Generic. High quality and reliable performance for all applications.,https://ram-egypt.com/product/15,2025-12-26T16:15:56.283415
16,Arbitrary Waveform Generator Advanced 16,13056.33,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ram_15,HP,Analysis,Ram,In Stock,4.1,Professional analysis from HP. High quality and reliable performance for all applications.,https://ram-egypt.com/product/16,2025-12-26T16:15:56.283426
